episode_imdb_rating;episode_views
8.5;52770.0
7.4;49811.0
7.9;51997.0
8.4;50403.0
6.9;49065.0
8.0;52829.0
7.7;45586.0
8.6;55238.0
8.2;103012.0
8.6;53728.0
7.1;45176.0
7.7;52098.0
6.9;51877.0
6.8;46336.0
8.2;53499.0
7.3;47386.0
7.1;43756.0
7.9;53093.0
7.2;39180.0
8.7;64342.0
6.9;47246.0
8.5;50601.0
6.9;44539.0
8.2;47880.0
7.0;41064.0
7.1;39443.0
8.0;49457.0
7.9;55808.0
8.8;58968.0
8.0;58991.0
8.2;55987.0
8.5;58919.0
8.3;53123.0
8.6;72378.0
8.2;61508.0
7.7;49665.0
7.9;46901.0
7.8;48058.0
7.7;50068.0
8.2;57582.0
8.2;50936.0
8.4;67081.0
8.1;54487.0
9.0;64605.0
7.8;52203.0
8.2;55740.0
8.4;108171.0
7.8;69527.0
8.8;63564.0
8.2;54557.0
8.5;62070.0
8.7;57400.0
9.0;88171.0
8.0;56396.0
8.1;59040.0
8.3;62309.0
8.3;84874.0
9.0;71907.0
7.2;49139.0
7.7;68692.0
8.1;53404.0
8.1;60739.0
8.2;59948.0
8.4;58390.0
9.0;65585.0
8.0;53490.0
8.9;57149.0
8.6;64802.0
8.7;110251.0
7.7;74139.0
8.7;83238.0
8.4;59350.0
8.5;82216.0
8.3;58716.0
8.2;74673.0
8.1;66267.0
8.2;61715.0
8.5;69996.0
8.8;75439.0
8.4;81678.0
7.9;63427.0
8.4;66406.0
8.2;74427.0
7.5;59503.0
8.0;67959.0
8.6;65126.0
8.1;54225.0
6.0;42576.0
9.0;71577.0
9.0;119295.0
8.5;72722.0
8.3;76932.0
8.0;64719.0
8.0;62450.0
8.4;63564.0
8.5;71936.0
7.8;61569.0
8.9;71002.0
8.3;74266.0
8.5;63051.0
8.5;73123.0
8.6;67619.0
8.5;80724.0
8.1;74788.0
7.9;60599.0
8.1;62323.0
8.3;56001.0
8.2;79777.0
8.6;70698.0
9.1;86070.0
8.9;67579.0
8.3;62390.0
8.7;65333.0
8.3;70120.0
8.5;69245.0
8.5;110342.0
8.5;61085.0
8.3;68970.0
9.0;81426.0
8.0;61246.0
7.5;56153.0
8.3;72268.0
8.7;64224.0
7.7;58572.0
7.7;71230.0
8.1;58795.0
8.6;70913.0
8.9;68354.0
8.8;66536.0
8.0;57809.0
8.2;57830.0
8.3;69120.0
8.0;75618.0
8.0;60569.0
8.3;102077.0
8.3;65847.0
8.0;61146.0
9.2;79609.0
8.2;60210.0
8.0;60956.0
7.7;55497.0
7.8;60912.0
8.5;64743.0
8.8;66281.0
9.0;69555.0
7.8;71813.0
8.6;60763.0
7.7;57608.0
8.9;63355.0
7.9;58581.0
8.1;54247.0
8.7;83561.0
8.2;56659.0
8.2;60584.0
7.9;56833.0
7.7;54155.0
9.2;74177.0
7.3;57926.0
8.0;59088.0
9.1;62962.0
7.8;59196.0
7.4;48414.0
8.1;20008.0
8.1;30963.0
8.2;30921.0
7.7;31033.0
7.7;19419.0
8.0;22318.0
7.5;25183.0
7.6;19899.0
7.7;22426.0
7.5;20298.0
5.1;15780.0
8.2;27710.0
8.1;32487.0
7.6;21214.0
8.0;21608.0
7.8;20739.0
8.3;23127.0
7.9;23426.0
7.9;21811.0
8.5;26299.0
8.3;60952.0
7.7;55316.0
8.1;53823.0
7.6;56018.0
8.2;53216.0
7.5;43240.0
8.2;56762.0
7.7;57693.0
8.0;83169.0
7.3;46822.0
7.5;53449.0
7.3;43485.0
7.6;45779.0
8.0;50013.0
7.3;50300.0
7.8;56561.0
6.9;50051.0
7.7;55726.0
7.6;54195.0
7.3;52778.0
7.6;47851.0
7.9;55947.0
7.3;47155.0
7.3;34394.0
7.5;44172.0
7.3;47550.0
7.2;44242.0
7.3;47951.0
7.5;46141.0
7.7;47980.0
7.6;51431.0
7.3;44615.0
7.1;40465.0
7.1;41484.0
7.3;48070.0
7.3;48194.0
6.9;43869.0
7.3;43949.0
6.6;41259.0
7.9;47392.0
7.3;50427.0
7.3;52891.0
7.0;75315.0
7.4;48786.0
6.6;52176.0
7.2;47061.0
7.3;54146.0
7.4;40990.0
7.2;39480.0
7.9;74046.0
7.6;77719.0
7.1;40443.0
7.2;44005.0
7.7;51100.0
7.3;49325.0
8.0;56755.0
8.0;68784.0
7.3;51024.0
6.9;51004.0
7.2;49986.0
7.5;49893.0
7.2;50903.0
6.5;45718.0
7.3;49321.0
7.3;50070.0
7.0;56698.0
7.5;77136.0
7.1;47251.0
7.2;44651.0
7.2;37376.0
7.7;45288.0
7.1;45824.0
7.0;54348.0
6.9;45684.0
7.3;49429.0
7.5;42977.0
6.5;44787.0
6.5;41049.0
7.3;50301.0
7.0;50694.0
7.7;54539.0
7.7;69650.0
5.6;46335.0
6.9;47193.0
7.2;46466.0
8.0;53639.0
7.1;48954.0
7.3;35578.0
7.6;71817.0
6.8;42907.0
7.0;43130.0
7.1;55369.0
7.1;40867.0
7.3;48110.0
7.3;47170.0
6.6;47276.0
7.3;42885.0
7.1;42185.0
7.2;49263.0
6.9;44837.0
6.8;43223.0
7.0;49000.0
6.9;47288.0
6.6;50464.0
7.7;45931.0
7.4;68381.0
7.3;34590.0
7.0;37456.0
7.1;43134.0
6.6;37890.0
7.3;45062.0
7.2;40667.0
6.7;50276.0
7.3;42776.0
7.1;42492.0
7.3;46792.0
7.1;43969.0
6.9;43747.0
6.7;42440.0
7.0;47274.0
7.3;43128.0
7.4;72271.0
7.3;46273.0
6.2;56275.0
7.2;44954.0
7.1;40958.0
6.6;38908.0
6.9;46309.0
7.1;44210.0
7.3;43118.0
7.0;46256.0
7.0;44914.0
6.4;43356.0
6.8;42759.0
7.1;49371.0
7.0;45489.0
6.9;45174.0
7.3;53146.0
7.4;41620.0
7.2;50610.0
7.3;46504.0
6.8;44500.0
7.1;44606.0
7.2;48303.0
6.9;35717.0
6.3;33933.0
7.0;35779.0
6.9;39428.0
6.7;39577.0
7.3;74401.0
6.9;40306.0
7.0;45513.0
6.7;39552.0
6.9;43082.0
7.0;43599.0
6.4;39745.0
7.4;48854.0
7.0;44012.0
6.5;41323.0
6.7;43162.0
6.6;42303.0
7.2;47829.0
7.1;48419.0
6.7;42280.0
7.2;45267.0
6.6;42778.0
7.5;41321.0
7.2;41161.0
7.0;67621.0
6.8;41865.0
6.7;33495.0
7.1;68799.0
6.9;42160.0
7.1;41561.0
6.8;37177.0
6.4;43700.0
7.0;43032.0
6.6;41312.0
7.0;52730.0
7.3;47107.0
7.3;45036.0
6.3;44770.0
7.1;46262.0
7.0;42892.0
8.1;45026.0
6.3;41751.0
7.2;42602.0
7.3;45281.0
6.7;33792.0
6.7;36253.0
7.2;35926.0
7.1;69957.0
6.9;35850.0
6.7;39369.0
7.1;44445.0
8.2;44862.0
7.1;42596.0
7.7;42141.0
7.3;41658.0
6.9;44512.0
6.3;43485.0
6.6;40507.0
6.7;41735.0
6.9;41118.0
6.1;39238.0
7.0;41440.0
6.4;44616.0
7.2;45735.0
6.9;38186.0
7.0;45781.0
6.6;40078.0
5.9;38582.0
7.1;38879.0
7.1;40353.0
7.0;41165.0
6.6;38247.0
7.0;40679.0
6.3;45727.0
7.0;41271.0
6.8;43254.0
7.2;43663.0
7.2;40864.0
7.2;45179.0
7.0;42390.0
7.1;45032.0
6.3;44718.0
7.3;66209.0
7.1;39936.0
6.9;43781.0
6.6;38196.0
7.0;40276.0
7.2;42693.0
6.7;42142.0
6.3;39134.0
7.0;43275.0
6.9;39687.0
6.7;42893.0
6.3;42426.0
5.8;48760.0
6.8;37909.0
6.7;35846.0
7.2;38097.0
6.7;40194.0
7.1;40854.0
6.8;36227.0
6.6;41059.0
7.1;41357.0
6.8;44945.0
7.0;40487.0
5.7;44070.0
6.7;44645.0
6.9;41528.0
6.9;40904.0
7.2;43446.0
6.9;40632.0
7.2;45738.0
6.6;41830.0
6.3;31638.0
6.8;35051.0
6.8;39073.0
7.1;61954.0
7.2;40637.0
6.4;37568.0
6.5;38097.0
6.3;41253.0
6.9;42734.0
7.0;42691.0
6.1;38893.0
6.9;42028.0
6.5;41202.0
7.0;41560.0
6.6;63816.0
6.7;38034.0
6.6;41638.0
7.2;46154.0
7.2;39209.0
7.2;42746.0
7.3;46660.0
7.0;43681.0
7.0;37642.0
6.8;41687.0
6.2;39002.0
7.8;42780.0
8.2;69460.0
6.1;44074.0
5.7;39838.0
6.5;40669.0
7.0;45226.0
6.9;45133.0
7.3;44818.0
7.1;43615.0
6.9;43544.0
7.1;43422.0
7.4;53058.0
6.7;47005.0
4.5;44434.0
6.4;36570.0
7.3;67484.0
6.7;35136.0
6.3;36897.0
6.5;43211.0
7.2;40649.0
6.9;42306.0
7.0;41542.0
7.2;40726.0
7.0;42807.0
6.2;39510.0
6.6;42215.0
6.5;41828.0
7.0;42925.0
6.5;43471.0
7.1;44170.0
7.2;42996.0
6.5;41184.0
6.8;42810.0
7.0;44984.0
6.5;39301.0
6.7;44551.0
7.1;40671.0
7.0;47531.0
7.1;64758.0
6.5;39590.0
7.0;43717.0
6.5;39290.0
7.6;45354.0
7.2;44119.0
6.6;44271.0
7.1;40646.0
6.4;39292.0
6.7;51132.0
6.7;44512.0
7.0;41726.0
6.9;42080.0
6.5;45184.0
7.0;55742.0
6.7;46408.0
5.8;29526.0
6.9;38411.0
7.3;65425.0
6.5;42912.0
6.3;36410.0
7.9;48223.0
6.9;43513.0
6.5;38432.0
6.8;37064.0
6.8;36622.0
7.3;39702.0
5.8;35848.0
6.3;36221.0
6.6;34137.0
6.9;43023.0
8.0;58277.0
8.2;59575.0
8.1;55413.0
8.2;51182.0
8.2;47426.0
7.5;49005.0
8.2;171408.0
7.6;55355.0
8.1;63129.0
7.8;91423.0
7.5;78072.0
7.9;57793.0
7.8;67378.0
8.2;130282.0
7.5;64776.0
7.8;56486.0
8.8;50206.0
7.7;66311.0
7.4;50816.0
7.8;60458.0
8.3;62561.0
7.9;57590.0
8.3;58553.0
8.1;64959.0
8.0;50691.0
7.7;47539.0
8.4;57605.0
7.5;46823.0
7.5;47780.0
7.6;44331.0
8.0;58561.0
